word_texts,lemmas,postags,forms
tulebki,tulema,V,b
teha,tegema,V,da
kitsas,kitsas,A,sg in
ringis,ring,S,sg in
suletud,suletud|sulgema,A|V,|pl n|sg n|tud
ukse,uks,S,sg g
taga,taga,K,
–,-,Z,
parlamentarism,parlamentarism,S,sg n
ei,ei,V,neg
tähenda,tähendama,V,o
ka,ka,D,
seda,see,P,sg p
.,.,Z,
Vastupidi,vastupidi,D,
:,:,Z,
inimestel,inimene,S,pl ad
peab,pidama,V,b
käes,käsi,S,sg in
olema,olema,V,ma
arvamuste,arvamus,S,pl g
kujundamiseks,kujundamine,S,sg tr
vajalik,vajalik,A,sg n
teave,teave,S,sg n
ja,ja,J,
inimesi,inimene,S,pl p
tuleb,tulema,V,b
otsuste,otsus,S,pl g
langetamisel,langetamine,S,sg ad
kuulata,kuulama,V,da
.,.,Z,
Rahvakogu,rahvakogu,S,sg g
ettepanekute,ettepanek,S,pl g
läbiarutamiseks,läbiarutamine,S,sg tr
ja,ja,J,
vajalike,vajalik,A,pl g
seadusmuudatuste,seadusmuudatus,S,pl g
tegemiseks,tegemine,S,sg tr
on,olema,V,b|vad
jäänud,jääma|jäänud,A|V,|nud|pl n|sg n
vaid,vaid,D,
mõned,mõni,P,pl n
kuud,kuu,S,sg p
.,.,Z,
Ma,mina,P,sg n
tunnustan,tunnustama,V,n
Riigikogu,riigikogu,S,sg g
põhiseaduskomisjoni,põhiseaduskomisjon,S,sg g
valmisolekut,valmisolek,S,sg p
nende,tema,P,pl g
põhjal,põhjal,K,
seadusemuudatusi,seadusemuudatus,S,pl p
visandada,visandama,V,da
.,.,Z,
Austatavad,austatav,A,pl n
Riigikogu,riigikogu,S,sg g
liikmed,liige,S,pl n
",",",",Z,
palun,paluma,V,n
ärge,ära,V,neg ge
sundige,sundima,V,ge
meid,mina,P,pl p
pettuma,pettuma,V,ma
.,.,Z,
Head,hea,A,pl n
mõttekaaslased,mõttekaaslane,S,pl n
",",",",Z,
Kohaliku,kohalik,A,sg g
omavalitsuse,omavalitsus,S,sg g
ja,ja,J,
hariduse,haridus,S,sg g
reformide,reform,S,pl g
taustal,taust,S,sg ad
tahan,tahtma,V,n
rõhutada,rõhutama,V,da
väikeriigi,väikeriik,S,sg g
filosoofia,filosoofia,S,sg g
vajalikkust,vajalikkus,S,sg p
.,.,Z,
Eestis,Eesti,H,sg in
ei,ei,V,neg
ole,olema,V,o
nii,nii,D,
palju,palju,D,
inimesi,inimene,S,pl p
ega,ega,J,
vahendeid,vahend,S,pl p
",",",",Z,
et,et,J,
jäljendada,jäljendama,V,da
suurriikide,suurriik,S,pl g
haldusmudeleid,haldusmudel,S,pl p
ja,ja,J,
pillata,pillama,V,da
aega,aeg,S,sg p
asendustegevusele,asendustegevus,S,sg all
.,.,Z,
Eestil,Eesti,H,sg ad
on,olema,V,b|vad
harukordne,harukordne,A,sg n
võimalus,võimalus,S,sg n
olla,olema,V,da
paindlik,paindlik,A,sg n
",",",",Z,
uuendusmeelne,uuendusmeelne,A,sg n
",",",",Z,
lihtne,lihtne,A,sg n
ja,ja,J,
loogiline,loogiline,A,sg n
.,.,Z,
Selgitada,selgitama,V,da
välja,välja,D,
tegelikud,tegelik,A,pl n
mured,mure,S,pl n
",",",",Z,
otsida,otsima,V,da
neile,tema,P,pl all
parimad,parim,U,pl n
lahendused,lahendus,S,pl n
ja,ja,J,
viia,viima,V,da
muudatused,muudatus,S,pl n
julgelt,julgelt,D,
läbi,läbi,D,
.,.,Z,
Väikeriik,väikeriik,S,sg n
annab,andma,V,b
suuri,suur,A,pl p
eeliseid,eelis,S,pl p
.,.,Z,
Me,mina,P,pl n
võime,võima,V,me
jõuda,jõudma,V,da
iga,iga,P,sg g
inimeseni,inimene,S,sg ter
",",",",Z,
kui,kui,D|J,
vaid,vaid,D,
tahame,tahtma,V,me
.,.,Z,
Andkem,andma,V,gem
rohkem,rohkem,D,
ruumi,ruum,S,sg p
ettevõtlikkusele,ettevõtlikkus,S,sg all
kõige,kõige,D,
laiemas,laiem,C,sg in
tähenduses,tähendus,S,sg in
.,.,Z,
Ärgem,ära,V,neg gem
summutagem,summutama,V,gem
tehatahtmist,tehatahtmine,S,sg p
ühtlustamise,ühtlustamine,S,sg g
",",",",Z,
ülekorraldamise,ülekorraldamine,S,sg g
",",",",Z,
tsentraliseerimisega,tsentraliseerimine,S,sg kom
.,.,Z,
Need,see,P,pl n
",",",",Z,
suurriiklikud,suurriiklik,A,pl n
lähenemised,lähenemine,S,pl n
ei,ei,V,neg
sobi,sobima,V,o
meile,mina,P,pl all
.,.,Z,
Peame,pidama,V,me
olema,olema,V,ma
palju,palju,D,
nõudlikumad,nõudlikum,C,pl n
ja,ja,J,
kokkuhoidlikumad,kokkuhoidlikum,C,pl n
.,.,Z,
Meile,mina,P,pl all
on,olema,V,b|vad
seni,seni,D,
toonud,tooma|toonud,A|V,|nud|pl n|sg n
edu,edu,S,sg g
mõistlikkus,mõistlikkus,S,sg n
",",",",Z,
uuendusjulgus,uuendusjulgus,S,sg n
ja,ja,J,
loogilisus,loogilisus,S,sg n
.,.,Z,
Me,mina,P,pl n
vajame,vajama,V,me
lahendusi,lahendus,S,pl p
just,just,D|I,
Eesti,Eesti,H,sg g
jaoks,jaoks,K,
",",",",Z,
lähtudes,lähtuma,V,des
