par_nr	head	sentence
54	NA	" "" Ja-jah , tähenda aga kõik üles , mida see hull inimene suust välja ajab . "" "
55	NA	" "" Igatahes siiani pole ju keegi sulle veel hullumaja autot järele saatnud . "
55	NA	" Järelikult pole sa oma juttudega nii ohtlikuks osutunud , et vajaksid ühiskonnast isoleerimist . "" "
56	NA	" "" Võib-olla ei tea nad mu täpset aadressi . "
56	NA	" Hakka siis kallist bensiini raiskama ja mööda tolmuseid külavaheteid mõistujuttu ajavat turris juuksetukaga noorsandi taga ajama . "" "
57	NA	 Naersime nii , et võttis päris võhmale . 
58	NA	" "" Kes see ikka nalja teeb , kui ise ei tee , "" ütles Chris lõpuks . "
59	NA	" "" Muuseas , mõtle , kui palju me sellega jälle raha kokku hoiame , "" tuli mulle äkki mõte pähe . "
60	NA	" "" Ise nalja tegemisega või ? "" "
61	NA	" "" Nojah , noh . "
61	NA	" Muidu peaks me kilode kaupa banaane kokku ostma , et saaks iga meetri järel koore maha visata ja siis põõsas itsitada , kui keegi mõnel neist libastub . "" "
62	NA	" "" Või torte , et neid siis kiviheitemasinaga inimestele näkku pilduma hakata , "" pakkus Chris omalt poolt . "
63	NA	 Turtsatasime taas . 
63	NA	" "" Tegelikult tundub mulle , et nii mõnelegi ainult säärased asjad nalja teevadki , "" ütlesin ma lõpuks ja toppisin oma kirjutamistarbed taas kotti . "
63	NA	" "" Kas tuled ka meie poole ? "
63	NA	" Tädi Klara on täna kindlasti jälle mõne uut moodi umbrohusöögi valmis vaaritand . "" "
64	NA	" "" Kui ma oma töö siin valmis saan , siis võib-olla tulengi . "
64	NA	" Kui teil selle aja peale peaks veel mõni nõges potipõhjas just nimelt mind ootama . "" "
65	 4 . 	 4 . 
66	NA	 Sina , kes sa oled käesoleva raamatu lugemisega jõudnud täpselt nii kaugele , kus sa praegu oled , kibeled nüüd juba kindlasti teada saama , kuidas mul siis nende kavaleridega ikka lood on . 
66	NA	 Noh et kui Brita on ikka juba viisteist , siis peaks nagu poisid peas olema või nii . 
66	NA	 Räägin sulle siis loo ühest oma kavalerikandidaadist . 
67	NA	 Viimati otsustasin ma uue aasta linnas koos vanematega vastu võtta . 
67	NA	 Isa bisnis on lõpuks võimaldanud korraliku eluaseme muretseda ja seetõttu on nad emaga avaldanud arvamust , et võiksin nüüd taas linna kolida , sest uues majas saaksin enesele kolm korda nii suure toa kui tädi Klara juures , koos isikliku vannitoaga . 
67	NA	 Isa meelest on see ühele viieteistkümneaastasele neiule hullupööra ahvatlev . 
67	NA	 Tõenäoliselt arvab temagi , et sääl metsakolkas minu sotsiaalne kasv pidurdub . 
67	NA	 Aga , uskuge või mitte , üle kolme päeva ma linnas vastu ei pea . 
67	NA	" Kui oled ikka nii kaua looduse rüpes elanud kui mina , siis ajab juba sõna "" linn "" hirmujudinad peale . "
